yyyymmdd	domestic	foreign	total
20181225			
20181226			
20181227			
20181228			
20181229			
20181230			
20181231			
20190101	28147	3085	
20190102	33918	2626	
20190103	32242	2882	
20190104	31761	2940	
20190105	32063	3294	
20190106	32259	2820	
20190107	33882	3133	
20190108	31966	3105	
20190109	30833	2644	
20190110	34651	3064	
20190111	33427	3575	
20190112	36144	3969	
20190113	35499	3152	
20190114	29897	3477	
20190115	34298	3932	
20190116	33408	3073	
20190117	35056	3360	
20190118	35338	3793	
20190119	37538	4276	
20190120	34423	3410	
20190121	34921	3870	
20190122	32466	4102	
20190123	32029	3375	
20190124	33858	3684	
20190125	34614	3736	
20190126	35296	4172	
20190127	32872	3310	
20190128	33437	3918	
20190129	33469	4227	
20190130	25417	3563	
20190131	30914	3758	
20190201	34998	4013	
20190202	40069	4564	
20190203	39827	3530	
20190204	28434	3679	
20190205	33034	4580	
20190206	37461	4107	
20190207	35543	4042	
20190208	34659	4001	
20190209	33042	4806	
20190210	34131	3753	
20190211	34883	4451	
20190212	34130	4597	
20190213	34577	3662	
20190214	35100	3857	
20190215	35517	3947	
20190216	35885	4343	
20190217	35519	3446	
20190218	35350	3729	
20190219	33561	4116	
20190220	35635	3558	
20190221	35662	3958	
20190222	36916	4155	
20190223	37641	4477	
20190224	37137	3773	
20190225	36192	4022	
20190226	35977	5905	
20190227	36790	3641	
20190228	37114	3877	
20190301	42844	3820	
20190302	28495	6488	
20190303	29324	3426	
20190304	29067	3923	
20190305	26702	3912	
20190306	25856	3463	
20190307	32039	3563	
20190308	34746	4019	
20190309	33002	4381	
20190310	31119	3218	
20190311	30774	3995	
20190312	28638	4143	
20190313	28072	3600	
20190314	32855	3950	
20190315	35472	4059	
20190316	35791	4245	
20190317	34692	4005	
20190318	32970	4201	
20190319	30350	3932	
20190320	24898	1944	
20190321	38338	4402	
20190322	38067	4305	
20190323	37392	5048	
20190324	36050	3800	
20190325	36794	4559	
20190326	34831	4566	
20190327	35316	3661	
20190328	35489	6719	
20190329	37968	4353	
20190330	38146	4567	
20190331	34383	4153	
20190401	36056	4733	
20190402	35735	3820	
20190403	36359	4206	
20190404	37459	4486	
20190405	40087	7513	
20190406	39122	4733	
20190407	35587	5875	
20190408	37650	4288	
20190409	27880	3156	
20190410	40994	6203	
20190411	39864	4122	
20190412	40257	4646	
20190413	40912	4641	
20190414	35721	3591	
20190415	37486	5091	
20190416	34581	4785	
20190417	37106	4154	
20190418	39433	4414	
20190419	39616	4706	
20190420	40689	6725	
20190421	36409	4986	
20190422	38247	4668	
20190423	35922	4111	
20190424	39408	4525	
20190425	39816	4427	
20190426	42209	4825	
20190427	43078	6279	
20190428	39894	4476	
20190429	39597	5072	
20190430	39732	4734	
20190501	41205	4689	
20190502	39020	4886	
20190503	42354	4622	
20190504	46775	4536	
20190505	34142	3822	
20190506	33949	4452	
20190507	34244	4227	
20190508	35626	5279	
20190509	36860	3919	
20190510	36670	4625	
20190511	38516	4489	
20190512	34591	4153	
20190513	39888	4578	
20190514	37445	5354	
20190515	40342	8224	
20190516	39881	4177	
20190517	38146	4207	
20190518	36703	4622	
20190519	36378	4556	
20190520	40497	4710	
20190521	36678	3872	
20190522	38869	4555	
20190523	38092	4577	
20190524	38636	5365	
20190525	39962	5153	
20190526	35844	4741	
20190527	33634	5083	
20190528	37468	4448	
20190529	37825	4748	
20190530	35452	4924	
20190531	37154	4890	
20190601	42492	5030	
20190602	39317	4863	
20190603	40796	4937	
20190604	40162	4524	
20190605	42719	5403	
20190606	46056	6872	
20190607	31943	5613	
20190608	34239	4968	
20190609	38677	4370	
20190610	39073	4851	
20190611	36825	4539	
20190612	37804	4723	
20190613	40364	5217	
20190614	39720	5093	
20190615	41102	5376	
20190616	37736	4814	
20190617	38428	5442	
20190618	35449	5099	
20190619	37025	6686	
20190620	39600	5095	
20190621	39884	5133	
20190622	40320	5504	
20190623	39911	4824	
20190624	40507	5172	
20190625	36887	4876	
20190626	35170	4870	
20190627	35451	5498	
20190628	33781	4949	
20190629	31840	5041	
20190630	34563	5090	
20190701	36296	5100	
20190702	33142	4297	
20190703	35665	4867	
20190704	37152	5019	
20190705	35787	4832	
20190706	36971	5114	
20190707	36353	5034	
20190708	36212	5022	
20190709	32526	4664	
20190710	34319	4851	
20190711	38131	5496	
20190712	35783	5208	
20190713	38334	5469	
20190714	38955	4976	
20190715	37379	4807	
20190716	34482	4787	
20190717	35443	4858	
20190718	36117	4677	
20190719	25622	2826	
20190720	26396	4405	
20190721	39248	5731	
20190722	39052	5476	
20190723	35806	4822	
20190724	38398	5092	
20190725	40000	5234	
20190726	39737	5683	
20190727	45708	7375	
20190728	42810	5275	
20190729	42338	5452	
20190730	40240	4740	
20190731	44793	5025	
20190801	46723	5338	
20190802	42484	5667	
20190803	44942	5584	
20190804	43416	5703	
20190805	43998	5747	
20190806	35855	5158	
20190807	37378	5353	
20190808	38879	5487	
20190809	38358	4549	
20190810	38808	4737	
20190811	38570	5778	
20190812	40577	6363	
20190813	40501	5087	
20190814	41944	5755	
20190815	46163	7120	
20190816	36933	6065	
20190817	36767	7554	
20190818	40716	5716	
20190819	41976	5776	
20190820	37202	5204	
20190821	37435	5600	
20190822	38703	5724	
20190823	38779	5681	
20190824	41120	5714	
20190825	40560	5609	
20190826	41852	5382	
20190827	38339	5122	
20190828	39601	5104	
20190829	38994	5255	
20190830	38111	5310	
20190831	35754	5543	
20190901	33254	4797	
20190902	31558	5307	
20190903	28048	4697	
20190904	27846	5135	
20190905	26964	5218	
20190906	16626	2750	
20190907	9071	4147	
20190908	30062	5398	
20190909	25878	4763	
20190910	35124	4263	
20190911	42774	4699	
20190912	47767	5801	
20190913	39852	5727	
20190914	37732	5414	
20190915	42380	4644	
20190916	39517	5351	
20190917	39998	5868	
20190918	39767	5477	
20190919	39348	5352	
20190920	33743	5846	
20190921	28193	3868	
20190922	6636	1396	
20190923	43555	7706	
20190924	40482	5206	
20190925	40317	5555	
20190926	39855	5716	
20190927	40239	5786	
20190928	40224	5789	
20190929	39847	5323	
20190930	34212	5745	
20191001	32610	4294	
20191002	11859	1865	
20191003	44000	8192	
20191004	45207	5516	
20191005	39929	5197	
20191006	41128	4912	
20191007	39088	5413	
20191008	40602	5008	
20191009	41715	5221	
20191010	37952	5314	
20191011	39351	5885	
20191012	40797	5178	
20191013	40929	5316	
20191014	44420	5669	
20191015	42769	6394	
20191016	42382	5228	
20191017	42448	5379	
20191018	43417	5760	
20191019	43928	6317	
20191020	41411	5450	
20191021	43996	5571	
20191022	41947	5010	
20191023	42310	6820	
20191024	42701	5164	
20191025	42564	5512	
20191026	43789	5358	
20191027	39140	4553	
20191028	40243	5463	
20191029	37770	5313	
20191030	38622	4183	
20191031	38863	5116	
20191101	41770	5257	
20191102	42819	5876	
20191103	41194	6805	
20191104	40854	5135	
20191105	38791	5224	
20191106	39692	4047	
20191107	40592	4960	
20191108	42099	5089	
20191109	43577	5472	
20191110	40611	4208	
20191111	38842	4583	
20191112	36665	4834	
20191113	40385	3859	
20191114	40796	4600	
20191115	41860	4720	
20191116	42226	5063	
20191117	39614	4267	
20191118	36452	4904	
20191119	34113	4867	
20191120	37602	4266	
20191121	39965	5095	
20191122	39906	5133	
20191123	39955	5472	
20191124	37886	4163	
20191125	36029	5146	
20191126	32754	5507	
20191127	34732	4192	
20191128	39484	4665	
20191129	37363	5148	
20191130	36854	4891	
20191201	33945	3924	
20191202	31943	4114	
20191203	29168	4530	
20191204	30992	3588	
20191205	36917	4280	
20191206	36817	4749	
20191207	35965	4705	
20191208	36100	4308	
20191209	35557	4768	
20191210	32458	4778	
20191211	33751	4172	
20191212	40607	4392	
20191213	38407	5027	
20191214	37854	5285	
20191215	37581	4440	
20191216	37505	5077	
20191217	34708	5539	
20191218	36667	4008	
20191219	39057	5092	
20191220	37638	5025	
20191221	38985	5902	
20191222	39383	5286	
20191223	37724	5664	
20191224	36546	5555	
20191225	39059	3932	
20191226	39103	5406	
20191227	39810	5426	
20191228	40463	5605	
20191229	40533	4879	
20191230	38712	4559	
20191231	37042	5872	
20200101			
20200102			
20200103			
20200104			
20200105			
20200106			
20200107			
20200108			
20200109			
20200110			
20200111			
20200112			
20200113			
20200114			
20200115			
20200116			
20200117			
20200118			
20200119			
20200120			
20200121			
20200122			
20200123			
20200124			
20200125			
20200126			
20200127			
20200128			
20200129			
20200130			
20200131			
20200201			
20200202			
20200203			
20200204			
20200205			
20200206			
20200207			
20200208			
20200209			
20200210			
20200211			
20200212			
20200213			
20200214			
20200215			
20200216			
20200217			
20200218			
20200219			
20200220			
20200221			
20200222			
20200223			
20200224			
20200225			
20200226			
20200227			
20200228			
20200229			
20200301			
20200302			
20200303			
20200304			
20200305			
20200306			
20200307			
20200308			
20200309			
20200310			
20200311			
20200312			
20200313			
20200314			
20200315			
20200316			
20200317			
20200318			
20200319			
20200320			
20200321			
20200322			
20200323			
20200324			
20200325			
20200326			
20200327			
20200328			
20200329			
20200330			
20200331			
20200401			
20200402			
20200403			
20200404			
20200405			
20200406			
20200407			
20200408			
20200409			
20200410			
20200411			
20200412			
20200413			
20200414			
20200415			
20200416			
20200417			
20200418			
20200419			
20200420			
20200421			
20200422			
20200423			
20200424			
20200425			
20200426			
20200427			
20200428			
20200429			
20200430			
20200501			
20200502			
20200503			
20200504			
20200505			
20200506			
20200507			
20200508			
20200509			
20200510			
20200511			
20200512			
20200513			
20200514			
20200515			
20200516			
20200517			
20200518			
20200519			
20200520			
20200521			
20200522			
20200523			
20200524			
20200525			
20200526			
20200527			
20200528			
20200529			
20200530			
20200531			
20200601			
20200602			
20200603			
20200604			
20200605			
20200606			
20200607			
20200608			
20200609			
20200610			
20200611			
20200612			
20200613			
20200614			
20200615			
20200616			
20200617			
20200618			
20200619			
20200620			
20200621			
20200622			
20200623			
20200624			
20200625			
20200626			
20200627			
20200628			
20200629			
20200630			
20200701			
20200702			
20200703			
20200704			
20200705			
20200706			
20200707			
20200708			
20200709			
20200710			
20200711			
20200712			
20200713			
20200714			
20200715			
20200716			
20200717			
20200718			
20200719			
20200720			
20200721			
20200722			
20200723			
20200724			
20200725			
20200726			
20200727			
20200728			
20200729			
20200730			
20200731			
20200801			
20200802			
20200803			
20200804			
20200805			
20200806			
20200807			
20200808			
20200809			
20200810			
20200811			
20200812			
20200813			
20200814			
20200815			
20200816			
20200817			
20200818			
20200819			
20200820			
20200821			
20200822			
20200823			
20200824			
20200825			
20200826			
20200827			
20200828			
20200829			
20200830			
20200831			
